transaction_id,date,customer_type,weather,item_name,category,unit_cost,price,day_of_week,quantity,total_amount
1001,2024-04-01,Staff,Sunny,Sandwich,Snacks,2.25,4.5,Monday,2,9
1002,2024-04-01,Staff,Sunny,Drink,Others,0.75,1.5,Monday,1,1.5
1003,2024-04-01,Staff,Cloudy,Salad,Healthy,2.5,5,Monday,1,5
1004,2024-04-01,Staff,Sunny,Burger,Snacks,2.75,5.5,Monday,1,5.5
1005,2024-04-01,Staff,Sunny,Sandwich,Snacks,2.25,4.5,Monday,1,4.5
1006,2024-04-01,Staff,Cloudy,Drink,Others,0.75,1.5,Monday,2,3
1007,2024-04-01,Staff,Rainy,Salad,Healthy,2.5,5,Monday,1,5
1008,2024-04-01,Staff,Sunny,Burger,Snacks,2.75,5.5,Monday,2,11
1009,2024-04-02,Staff,Rainy,Sandwich,Snacks,2.25,4.5,Tuesday,1,4.5
1010,2024-04-02,Staff,Sunny,Drink,Others,0.75,1.5,Tuesday,1,1.5
1011,2024-04-02,Staff,Cloudy,Salad,Healthy,2.5,5,Tuesday,2,10
1012,2024-04-02,Staff,Rainy,Burger,Snacks,2.75,5.5,Tuesday,1,5.5
1013,2024-04-02,Staff,Sunny,Sandwich,Snacks,2.25,4.5,Tuesday,2,9
1014,2024-04-02,Staff,Cloudy,Drink,Others,0.75,1.5,Tuesday,1,1.5
1015,2024-04-02,Staff,Sunny,Salad,Healthy,2.5,5,Tuesday,1,5
1016,2024-04-02,Staff,Rainy,Burger,Snacks,2.75,5.5,Tuesday,1,5.5
1017,2024-04-03,Staff,Sunny,Sandwich,Snacks,2.25,4.5,Wednesday,1,4.5
1018,2024-04-03,Staff,Cloudy,Drink,Others,0.75,1.5,Wednesday,2,3
1019,2024-04-03,Staff,Rainy,Salad,Healthy,2.5,5,Wednesday,1,5
1020,2024-04-03,Staff,Sunny,Burger,Snacks,2.75,5.5,Wednesday,1,5.5
1021,2024-04-03,Staff,Cloudy,Sandwich,Snacks,2.25,4.5,Wednesday,2,9
1022,2024-04-03,Staff,Sunny,Drink,Others,0.75,1.5,Wednesday,1,1.5
1023,2024-04-03,Staff,Rainy,Salad,Healthy,2.5,5,Wednesday,1,5
1024,2024-04-03,Staff,Sunny,Burger,Snacks,2.75,5.5,Wednesday,2,11
1025,2024-04-04,Staff,Cloudy,Sandwich,Snacks,2.25,4.5,Thursday,1,4.5
1026,2024-04-04,Staff,Rainy,Drink,Others,0.75,1.5,Thursday,1,1.5
1027,2024-04-04,Staff,Sunny,Salad,Healthy,2.5,5,Thursday,2,10
1028,2024-04-04,Staff,Cloudy,Burger,Snacks,2.75,5.5,Thursday,1,5.5
1029,2024-04-04,Staff,Rainy,Sandwich,Snacks,2.25,4.5,Thursday,2,9
1030,2024-04-04,Staff,Sunny,Drink,Others,0.75,1.5,Thursday,1,1.5
